TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,19.47,0
0.01,19.10,2.10617379217654E-07
0.02,18.74,2.0276541285584E-07
0.03,18.40,0
0.04,18.06,1.88447129097558E-07
0.05,17.74,1.81749863369664E-07
0.06,16.51,1.57385684096281E-07
0.07,14.17,1.15989668421423E-07
0.08,12.41,8.89696766644447E-08
0.09,11.04,0
0.1,9.94,5.70883942130847E-08
0.11,9.04,0
0.12,8.29,3.9721698730094E-08
0.13,7.66,0
0.14,7.11,2.92254704805549E-08
0.15,6.64,0
0.2,4.99,1.43529278540406E-08
0.25,3.99,9.19141627681496E-09
0.3,3.33,6.39126749595495E-09
0.35,2.85,4.69963106726274E-09
0.4,2.50,3.60266572143414E-09
