TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,19.40,0.00E+00
0.01,19.03,0.00E+00
0.02,18.67,2.01E-07
0.03,18.33,1.94E-07
0.04,18.00,0.00E+00
0.05,17.68,0.00E+00
0.06,16.51,1.57E-07
0.07,14.17,1.16E-07
0.08,12.41,8.90E-08
0.09,11.04,7.04E-08
0.1,9.94,5.71E-08
0.11,9.05,4.72E-08
0.12,8.29,0.00E+00
0.13,7.66,0.00E+00
0.14,7.11,2.92E-08
0.15,6.64,2.55E-08
0.16,6.23,0.00E+00
0.17,5.86,0.00E+00
0.18,5.54,1.77E-08
0.19,5.25,1.59E-08
0.2,4.99,0.00E+00
0.21,4.75,0.00E+00
0.22,4.53,0.00E+00
0.23,4.34,1.09E-08
0.24,4.16,9.98E-09
0.25,3.99,9.20E-09
0.26,3.84,8.50E-09
0.27,3.70,7.89E-09
0.28,3.56,7.33E-09
0.29,3.44,0.00E+00
0.3,3.33,6.39E-09

