TEXP (s),FREQ (fps),Erro (fps)
0.000,38.117,8.39E-07
0.005,37.406,0.00E+00
0.010,36.719,7.78E-07
0.015,36.057,7.51E-07
0.020,35.418,7.24E-07
0.025,34.802,0.00E+00
0.030,32.726,6.18E-07
0.035,28.124,4.57E-07
0.040,24.657,3.51E-07
0.045,21.951,2.78E-07
0.050,19.780,0.00E+00
0.055,18.000,0.00E+00
0.060,16.513,1.57E-07
0.065,15.254,0.00E+00
0.070,14.173,1.16E-07
0.075,13.235,0.00E+00
0.080,12.414,0.00E+00
0.085,11.688,0.00E+00
0.090,11.043,7.04E-08
0.095,10.465,0.00E+00
0.100,9.945,0.00E+00
0.150,6.642,0.00E+00
0.200,4.986,0.00E+00
0.250,3.991,0.00E+00
0.300,3.327,0.00E+00
