TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,55.54,1.78E-06
0.005,54.04,1.69E-06
0.010,52.62,1.60E-06
0.015,51.27,1.52E-06
0.020,48.65,1.37E-06
0.025,39.13,0.00E+00
0.030,32.73,0.00E+00
0.035,28.13,4.57E-07
0.040,24.66,3.51E-07
0.045,21.95,2.78E-07
0.050,19.78,2.26E-07
0.100,9.94,5.71E-08
0.150,6.64,2.55E-08
0.200,4.99,0.00E+00
0.250,3.99,0.00E+00
0.300,3.33,6.39E-09
