TEXP (s),FREQ (fps),Error (fps)
1E-05,0.101,0
2,0.099,0
4,0.097,0.00055
6,0.096,0.00107
8,0.094,0.00103
10,0.092,0.00099
12,0.086,0.00485
14,0.075,0.00687
16,0.065,0.00515
18,0.058,0.00401
20,0.052,0.00321
22,0.047,0.00262
24,0.043,0.00219
28,0.038,0.00344
32,0.033,0.00258
36,0.029,0.002
40,0.026,0.0016
44,0.023,0.00131
48,0.021,0.00109
52,0.02,0.00093
56,0.018,0.00079
60,0.017,0.00069
