TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,0.90,4.65921680147059E-10
0.5,0.86,0
1,0.82,0
1.5,0.67,2.56920826948359E-10
2,0.50,0
2.5,0.40,0
3,0.33,6.40858723627907E-11
3.5,0.29,4.7342732400601E-11
4,0.25,3.63730635585936E-11
4.5,0.22,2.88675158479901E-11
5,0.20,2.30940126784171E-11
5.5,0.18,1.90525700745172E-11
6,0.17,0
7,0.14,1.1547006339196E-11
8,0.12,0
9,0.11,6.92820220105798E-12
10,0.10,0
12,0.08,4.04145061625367E-12
14,0.07,2.94448853945767E-12
