TEXP (s),FREQ (fps),Erro (fps)
0.00,19.53,2.20E-07
0.01,19.16,2.12E-07
0.02,18.80,0.00E+00
0.03,18.45,1.96E-07
0.04,18.11,1.89E-07
0.05,17.79,1.83E-07
0.06,16.51,1.57E-07
0.07,14.17,0.00E+00
0.08,12.41,0.00E+00
0.09,11.04,7.04E-08
0.10,9.94,0.00E+00
0.11,9.04,0.00E+00
0.12,8.29,0.00E+00
0.13,7.66,0.00E+00
0.14,7.11,2.92E-08
0.15,6.64,2.55E-08
0.16,6.23,2.24E-08
0.17,5.86,1.98E-08
0.18,5.54,1.77E-08
0.19,5.25,0.00E+00
0.20,4.99,1.44E-08
0.21,4.75,1.30E-08
0.22,4.53,1.19E-08
0.23,4.34,0.00E+00
0.24,4.16,0.00E+00
0.25,3.99,9.20E-09
0.26,3.84,0.00E+00
0.27,3.70,7.89E-09
0.28,3.56,0.00E+00
0.29,3.44,0.00E+00
0.30,3.33,6.39E-09

