TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,189.138173001,0
0.00125,184.803941498,0
0.0025,180.631270163,0
0.00375,176.642866984,0
0.005,172.826789535,0
0.00625,146.818947279,0
0.0075,124.052394769,0
0.00875,107.398580835,0
0.01,94.6870168003,0
0.01125,84.6660474756,0
0.0125,76.563171124,0
0.01375,69.8757818227,0
0.015,64.2627678874,0
0.01625,59.484471876,0
0.0175,55.3675826126,0
0.01875,51.7836623581,0
0.02,48.6355065461,0
0.025,39.1219317158,0
0.03,32.7213245854,0
0.035,28.1206070339,0
0.04,24.6541576402,0
0.045,21.9485433959,0
0.05,19.7780233329,0
0.06,16.5122305266,0
0.07,14.1721126553,0
0.08,12.41293721,0
0.09,11.042267481,0
0.1,9.94420208767,0
0.11,9.04477171041,0
0.12,8.29454871476,0
0.13,7.6592486078,0
0.14,7.11434336283,0
0.15,6.64181873719,0
