TEXP (s),FREQ (fps),Error (fps)
0,3.966,9.08E-09
0.025,3.927,8.9E-09
0.05,3.889,0
0.075,3.851,8.56E-09
0.1,3.815,8.4E-09
0.125,3.779,0
0.15,3.743,0
0.175,3.709,7.94E-09
0.2,3.675,7.8E-09
0.225,3.641,0
0.25,3.608,7.52E-09
0.275,3.576,7.38E-09
0.3,3.327,0
0.325,3.072,0
0.35,2.853,4.69E-09
0.375,2.663,4.09E-09
0.4,2.497,3.6E-09
0.425,2.35,0
0.45,2.219,2.85E-09
0.475,2.103,0
0.5,1.998,2.3E-09
0.625,1.599,0
0.75,1.332,0
0.875,1.142,7.56E-10
1,0.999,5.76E-10
1.5,0.666,0
2,0.5,0
2.5,0.4,0
3,0.333,6.41E-11
4,0.25,0
5,0.2,2.31E-11
6,0.167,1.62E-11
