TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,134.87,1.05025787522773E-05
0.00125,132.65,1.01596326927194E-05
0.0025,130.49,9.83112038493206E-06
0.00375,128.40,0
0.005,126.37,9.21970645055063E-06
0.00625,124.40,8.93507276685221E-06
0.0075,122.50,8.66371813839271E-06
0.00875,107.47,6.66781826290897E-06
0.01,94.74,0
0.01125,84.71,4.1427191217696E-06
0.0125,76.60,3.38742950070876E-06
0.01375,69.90,2.82127982297234E-06
0.015,64.29,0
0.01625,59.51,2.04433956605108E-06
0.01875,51.80,0
0.02,48.65,1.36641488336053E-06
0.0225,43.37,0
0.025,39.13,0
0.0275,35.64,7.33523517188202E-07
0.03,32.73,0
0.0325,30.25,5.28390967007246E-07
0.035,28.13,4.56684063794319E-07
0.0375,26.28,3.9866036206776E-07
0.04,24.66,3.51028963995316E-07
0.045,21.95,2.78225096205746E-07
0.05,19.78,2.25917159540348E-07
0.1,9.94,5.7099942245004E-08
0.15,6.64,0
0.2,4.99,1.43529273412505E-08
0.25,3.99,9.19719003637958E-09
0.3,3.33,0

