TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,72.48,3.03339831506525E-06
0.00125,71.84,2.97958926962692E-06
0.0025,71.20,2.92681945681027E-06
0.00375,70.57,2.87537754049241E-06
0.005,69.95,2.82532128134454E-06
0.00625,69.35,0
0.0075,68.75,0
0.00875,68.17,2.68271576331127E-06
0.01,67.59,0
0.01125,67.02,2.59357287437268E-06
0.0125,66.47,2.55067575505279E-06
0.015,64.28,0
0.01625,59.50,2.04416636198158E-06
0.0175,55.38,1.77090648055284E-06
0.01875,51.80,0
0.02,48.65,0
0.0225,43.37,1.08611132601373E-06
0.025,39.13,8.84038731487081E-07
0.0275,35.64,7.33465781130926E-07
0.03,32.73,6.18342138184942E-07
0.035,28.12,4.56684063794319E-07
0.04,24.66,0
0.045,21.95,2.7816736014847E-07
0.05,19.78,0
0.1,9.94,0
0.15,6.64,2.54669204299366E-08
0.2,4.99,1.43529278540406E-08
0.25,3.99,9.19718977998456E-09
0.3,3.33,6.39126749595496E-09
0.35,2.85,4.69963106726275E-09
0.4,2.50,3.59689221826455E-09

