TEXP (s),FREQ (fps),Error (fps)
1.00E-05,1.006,5.83E-10
0.10,0.996,5.73E-10
0.20,0.986,5.61E-10
0.30,0.977,0.00E+00
0.40,0.967,5.40E-10
0.50,0.958,5.30E-10
0.60,0.949,5.20E-10
0.70,0.940,0.00E+00
0.80,0.931,5.01E-10
0.90,0.923,4.91E-10
1.00,0.914,0.00E+00
1.50,0.666,2.56E-10
2.00,0.500,1.44E-10
2.50,0.400,0.00E+00
3.00,0.333,6.41E-11
3.50,0.286,4.73E-11
4.00,0.250,3.58E-11
4.50,0.222,2.83E-11
5.00,0.200,0.00E+00
5.50,0.182,1.91E-11
6.00,0.167,0.00E+00
