TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,7.77,0
0.025,7.62,3.35555978577534E-08
0.05,7.48,0
0.075,7.34,0
0.1,7.21,0
0.125,7.08,0
0.15,6.64,2.54726939331062E-08
0.175,5.70,1.87292427438058E-08
0.2,4.99,1.43529278540406E-08
0.25,3.99,9.19718977998456E-09
0.3,3.33,0
0.35,2.85,4.69963106726274E-09
0.4,2.50,3.59689221826454E-09
0.5,2.00,0
0.6,1.67,0
0.7,1.43,1.1777945184005E-09
0.8,1.25,9.0066649445729E-10
0.9,1.11,7.10140761663049E-10
1,1.00,0
1.5,0.67,2.56343489451151E-10
2,0.50,0
2.5,0.40,9.23760507135682E-11
3,0.33,6.40858723627907E-11
3.5,0.29,0
4,0.25,3.57957260613851E-11
4.5,0.22,0
5,0.20,0
5.5,0.18,1.90525540498113E-11
6,0.17,1.61658184896879E-11
6.5,0.15,0
