TEXP (s),FREQ (fps),Erro (fps)
0,72.67,3.04933318791566E-06
0.0025,71.38,0
0.005,70.13,2.8396395610005E-06
0.0075,68.92,0
0.01,67.76,2.65049961767607E-06
0.0125,66.63,2.56297331372729E-06
0.015,64.28,0
0.0175,55.38,0
0.02,48.65,1.36635714730325E-06
0.0225,43.37,0
0.025,39.13,0
0.0275,35.64,7.33465781130926E-07
0.03,32.73,0
0.0325,30.25,5.28390964956086E-07
0.035,28.12,0
0.0375,26.28,0
0.04,24.66,3.509712299892E-07
0.0425,23.23,3.11422734303034E-07
0.045,21.95,2.78225096205746E-07
0.0475,20.81,2.49992664680832E-07
0.05,19.78,0
0.1,9.94,0
0.15,6.64,2.54669204299366E-08
0.2,4.99,1.43529278540406E-08
0.25,3.99,9.19718952358953E-09
0.3,3.33,0
