TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,0.52,0
0.25,0.51,0
0.5,0.51,0
0.75,0.50,0
1,0.50,0
1.25,0.49,0
1.5,0.48,0
1.75,0.48,0
2,0.47,0
2.25,0.44,0
2.5,0.40,0
3,0.33,0
3.5,0.29,0
4,0.25,0
4.5,0.22,0
5,0.20,0
6,0.17,0
7,0.14,0
8,0.12,0
9,0.11,0
10,0.10,0
12,0.08,0
14,0.07,0
