TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,0.202,0
1,0.198,2.25166751811863E-11
2,0.194,0
3,0.190,2.13619681374003E-11
4,0.186,2.0207261093593E-11
5,0.183,1.90525700744869E-11
6,0.167,1.61658184896879E-11
7,0.143,0
8,0.125,9.2376002639501E-12
9,0.111,6.92820220105103E-12
10,0.100,0
11,0.091,0
12,0.083,3.98372167393959E-12
14,0.071,2.94448853945767E-12
16,0.062,2.25166511441677E-12
18,0.056,1.78978550183471E-12
20,0.050,1.44337178623836E-12
24,0.042,9.81496179823312E-13
28,0.036,0
32,0.031,5.19614564152814E-13
36,0.028,4.04146664093876E-13
40,0.025,0
44,0.023,0
48,0.021,2.88674757876573E-13
52,0.019,2.30939806294483E-13
56,0.018,1.73206857809528E-13
60,0.017,1.73204854717605E-13

