TEXP (s),FREQ (fps),Error (fps)
0.00,9.89,5.64E-08
0.02,9.69,5.43E-08
0.04,9.57,1.06E-01
0.06,9.39,1.02E-01
0.08,9.22,9.87E-02
0.10,9.05,9.52E-02
0.12,8.53,4.05E-01
0.14,7.51,6.81E-01
0.16,6.52,5.12E-01
0.18,5.77,3.98E-01
0.20,5.17,3.19E-01
0.22,4.68,2.61E-01
0.24,4.28,2.18E-01
0.26,3.94,1.84E-01
0.28,3.66,1.58E-01
0.30,3.41,1.37E-01
0.32,3.19,1.20E-01
0.34,3.00,1.06E-01
0.36,2.83,9.40E-02
0.38,2.63,1.39E-01
0.40,2.50,1.25E-01
