TEXP (s),FREQ (fps),Erro (fps)
1E-05,0.4,0.000893534047175
1,0.385,0.000826040385621
2,0.371,0.000765914344835
3,0.333,1.88208345872386E-08
4,0.25,1.05880719755642E-08
5,0.2,2.14576847270948E-07
6,0.167,2.83915459323068E-07
7,0.143,2.08602425762156E-07
8,0.125,2.64716307135105E-09
9,0.111,2.09174862492573E-09
10,0.1,1.69435721064945E-09
11,0.091,1.39788047428877E-09
12,0.083,7.09874672662796E-08
14,0.071,5.3880751987785E-08
16,0.062,3.99302663533612E-08
18,0.056,1.55135461485444E-08
20,0.05,2.55556880076409E-08
24,0.042,1.77467080439508E-08
28,0.036,1.96666863643562E-08
32,0.031,1.03138718208992E-08
40,0.025,3.14159376950913E-09
48,0.021,6.83911808217648E-09
56,0.018,5.40977197314798E-11
60,0.017,1.49031424993848E-09
