TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,38.00,8.3363605189323E-07
0.005,37.29,8.02921019133289E-07
0.01,36.61,0
0.015,35.95,7.46225224161317E-07
0.02,35.32,0
0.025,34.70,0
0.03,32.73,0
0.035,28.12,4.56626327737043E-07
0.04,24.66,0
0.045,21.95,2.78225094154586E-07
0.05,19.78,2.25859425534232E-07
0.055,18.00,0
0.06,16.51,1.57443418102397E-07
0.065,15.25,1.34349407475165E-07
0.07,14.17,0
0.075,13.23,0
0.08,12.41,8.89119406071686E-08
0.085,11.69,7.88660471432283E-08
0.09,11.04,0
0.095,10.46,6.32198545791978E-08
0.1,9.94,0
0.11,9.05,0
0.12,8.29,3.9721698730094E-08
0.13,7.66,3.38731405320813E-08
0.14,7.11,2.92254704805549E-08
0.15,6.64,0
0.2,4.99,0
0.25,3.99,0
0.3,3.33,6.39126749595495E-09
0.35,2.85,4.69963132365777E-09
0.4,2.50,0
