TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,0.38,8.19837193687924E-11
0.5,0.37,7.8519630286785E-11
1,0.36,0
1.5,0.36,0
2,0.35,7.04367130295969E-11
2.5,0.34,6.81273309913847E-11
3,0.33,6.40859044121648E-11
3.5,0.29,0
4,0.25,3.63730635585989E-11
4.5,0.22,2.82901623260947E-11
5,0.20,2.30940126783921E-11
5.5,0.18,0
6,0.17,1.61658184896879E-11
7,0.14,1.15469903145125E-11
8,0.12,0
9,0.11,6.92821021339555E-12
10,0.10,5.77350316959801E-12
12.00,0.08,3.98371366160715E-12
14.00,0.07,0
