TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,105.25,0.00E+00
0.0025,102.57,6.07E-06
0.005,100.00,5.77E-06
0.0075,97.56,0.00E+00
0.01,94.75,5.18E-06
0.0125,76.61,3.39E-06
0.015,64.29,0.00E+00
0.0175,55.39,1.77E-06
0.02,48.65,1.37E-06
0.0225,43.38,1.09E-06
0.025,39.13,0.00E+00
0.0275,35.65,7.34E-07
0.03,32.73,6.18E-07
0.0325,30.25,0.00E+00
0.035,28.13,4.57E-07
0.0375,26.28,0.00E+00
0.04,24.66,3.51E-07
0.0425,23.23,3.11E-07
0.045,21.95,0.00E+00
0.0475,20.81,2.50E-07
0.05,19.78,2.26E-07
0.1,9.94,5.71E-08
0.15,6.64,2.55E-08
0.2,4.99,1.44E-08
0.25,3.99,0.00E+00
0.3,3.33,6.39E-09
