TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,3.96,0
0.05,3.89,0
0.1,3.81,0
0.15,3.74,8.07713016508256E-09
0.2,3.67,0
0.25,3.61,7.50555335129236E-09
0.3,3.33,0
0.35,2.85,4.69963132365777E-09
0.4,2.50,0
0.45,2.22,2.8463368062168E-09
0.5,2.00,2.30940113964169E-09
0.6,1.67,1.59926024978114E-09
0.7,1.43,0
0.8,1.25,0
0.9,1.11,0
1,1.00,5.76772915363838E-10
1.5,0.67,2.56343553549919E-10
2.5,0.40,9.23760186641929E-11
3,0.33,6.40858723627907E-11
3.5,0.29,4.67653628540146E-11
4,0.25,0
4.5,0.22,2.82901623261015E-11
5,0.20,2.30940126783921E-11
5.5,0.18,0
6,0.17,1.55884489431012E-11
6.5,0.15,0
