TEXP (s),FREQ (fps),Erro (fps)
1.00E-05,37.81,8.25206739316777E-07
0.005,37.11,7.94895850753128E-07
0.01,36.43,0
0.015,35.78,7.39066076128695E-07
0.02,35.15,0
0.025,34.54,0
0.03,32.73,0
0.035,28.12,0
0.04,24.66,3.5097122793804E-07
0.045,21.95,2.7816735809731E-07
0.05,19.78,2.25859425534232E-07
0.055,18.00,1.87003750228418E-07
0.06,16.51,0
0.065,15.25,0
0.07,14.17,1.15931934415307E-07
0.075,13.24,1.01151767326716E-07
0.08,12.41,0
0.085,11.69,7.88660471432283E-08
0.09,11.04,0
0.095,10.46,6.32198545791978E-08
0.1,9.94,5.70941672034642E-08
0.15,6.64,2.54726939331062E-08
0.2,4.99,1.43529273412505E-08
0.25,3.99,0
0.3,3.33,6.39126749595495E-09
