EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,273.19,15.88,0.20
10,287.99,16.74,0.20
20,292.51,17.01,0.19
30,294.23,17.11,0.14
40,296.30,17.23,0.17
50,299.22,17.40,0.22
100,302.66,17.60,0.15
150,304.90,17.73,0.13
200,308.05,17.91,0.13
250,310.40,18.05,0.10
300,312.75,18.18,0.12
